time_step,total_energy,kinetic_energy,potential_energy
0.0001, -127.7, 108.204, -235.904
0.0011, -127.209, 88.1816, -215.39
0.0021, -127.439, 73.6338, -201.073
0.0031, -127.298, 73.5951, -200.893
0.0041, -127.33, 67.3918, -194.722
0.0051, -127.102, 52.1236, -179.226
0.0061, -127.217, 39.0072, -166.224
0.0071, -127.116, 40.3126, -167.429
0.0081, -126.758, 64.461, -191.219
0.0091, -126.958, 45.5059, -172.464
0.0101, -127.443, 49.2766, -176.72
0.0111, -126.997, 44.0512, -171.049
0.0121, -126.245, 44.053, -170.298
0.0131, -126.733, 39.8243, -166.557
0.0141, -126.927, 44.485, -171.412
0.0151, -126.385, 41.0595, -167.444
0.0161, -125.434, 47.4035, -172.838
0.0171, -126.124, 46.4985, -172.623
0.0181, -127.203, 37.3545, -164.557
0.0191, -125.629, 42.8337, -168.462
0.0201, -126.802, 43.0264, -169.828
0.0211, -125.761, 45.9647, -171.725
0.0221, -123.577, 64.6236, -188.2
0.0231, -124.256, 33.8992, -158.155
0.0241, -125.627, 39.6384, -165.266
0.0251, -123.704, 44.8053, -168.51
0.0261, -121.807, 39.8194, -161.627
0.0271, -121.532, 47.0529, -168.585
0.0281, -122.007, 44.6896, -166.696
0.0291, -119.346, 41.2557, -160.602
